,x,y,stru_type,size
1411,-0.5878106,68.50884,FCC,0.215
1412,-27.130804,47.73302,HCP,0.32
1413,-18.751947,113.1152,Decahedron,0.035
1414,7.5381856,20.473978,Decahedron,0.71
1415,21.359928,23.292204,Decahedron,0.73
1416,27.184055,34.113266,FCC,0.675
1417,-3.7457697,30.91548,Decahedron,0.5
1418,-32.315266,17.505602,HCP,0.64
1419,-39.20788,22.540678,HCP,0.56
1420,16.216854,-0.38028735,HCP,0.96
1421,-18.715195,113.06892,Decahedron,0.035
1422,-15.497265,111.74849,SC,0.035
1423,-40.505825,73.80001,HCP,0.18
1424,-9.671778,99.64843,BCC,0.075
1425,-56.051525,35.222885,HCP,0.45
1426,-41.110085,22.360268,HCP,0.56
1427,14.222178,55.744938,BCC,0.445
1428,-41.997112,77.31871,HCP,0.18
1429,-2.2461305,7.402539,HCP,0.84
1430,18.655727,60.66425,BCC,0.415
1431,-33.647682,92.64651,HCP,0.1
1432,-38.00014,13.363018,HCP,0.64
1433,-12.460138,78.08906,Decahedron,0.145
1434,-67.20014,65.44481,HCP,0.3
1435,-19.954865,35.469845,Decahedron,0.435
1436,-45.107197,39.420437,HCP,0.42
1437,-40.158398,102.20985,HCP,0.06
1438,-19.998308,19.047792,HCP,0.6
1439,-20.815704,129.22443,BCC,0.045
1440,58.945694,48.048164,BCC,0.905
1441,-12.247675,41.397625,Decahedron,0.4
1442,-60.730473,42.29727,HCP,0.4
1443,3.8753443,55.47967,FCC,0.315
1444,27.518284,34.219635,FCC,0.675
1445,-53.6799,47.12455,HCP,0.36
1446,4.1220093,7.164408,HCP,0.84
1447,1.7737663,8.869364,HCP,0.84
1448,23.700554,57.74288,BCC,0.455
1449,-17.656612,92.81585,Decahedron,0.09
1450,37.009842,28.336504,FCC,0.825
1451,5.1049595,4.083659,HCP,0.84
1452,-26.90333,48.58633,HCP,0.32
1453,43.67285,48.38374,BCC,0.785
1454,12.708192,29.684172,SC,0.615
1455,34.515255,5.9291263,HCP,1.0
1456,47.68416,23.3807,SC,0.855
1457,18.271616,6.8523064,HCP,0.9
1458,11.958633,3.0460756,HCP,0.96
1459,-9.539716,99.07732,BCC,0.075
1460,-31.13285,29.085342,HCP,0.48
1461,14.35951,46.391335,BCC,0.475
1462,-11.964286,44.14692,Decahedron,0.375
1463,-38.112385,61.84623,HCP,0.24
1464,-8.424972,82.38579,SC,0.125
1465,-3.3014598,58.74719,SC,0.285
1466,12.800333,8.094227,HCP,0.8
1467,-25.23596,122.70549,Decahedron,0.025
1468,-25.791769,90.12682,HCP,0.09
1469,-27.093626,49.358353,HCP,0.32
1470,-24.615406,112.57977,HCP,0.03
1471,-5.048978,31.398924,Decahedron,0.5
1472,9.348994,82.60241,BCC,0.175
1473,-27.152096,61.581833,HCP,0.24
1474,9.746927,14.87151,Icosahedron,0.735
1475,23.232855,6.433743,HCP,0.96
1476,-2.5066845,42.493164,Octahedron,0.425
1477,34.782017,6.282623,HCP,1.0
1478,-9.454475,99.251595,BCC,0.075
1479,-15.860496,67.9368,Decahedron,0.2
1480,-20.239132,92.441025,HCP,0.08
1481,22.340534,19.765978,Decahedron,0.78
1482,5.282207,13.585372,HCP,0.75
1483,-29.700457,109.37054,HCP,0.04
1484,-16.8344,47.6711,Decahedron,0.355
1485,-53.503063,96.8874,HCP,0.08
1486,-47.01002,85.83114,HCP,0.14
1487,-44.446175,14.202685,HCP,0.63
1488,-16.912504,14.5213585,HCP,0.7
1489,-0.19864601,68.34488,FCC,0.215
1490,-12.297672,-0.08172464,HCP,0.9
1491,-16.625889,99.70571,FCC,0.065
1492,-27.49719,76.171646,HCP,0.16
